"","V91","V96","V116","V132","V146","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V318","V319","V353","V355"
"134",2,7,10,4,1,10,6,1,1,1,1,1,5,2,1,1,1,5,6,3,3,10,1,1,1,1,1,1,2,30
"135",2,7,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,55
"136",2,10,10,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,60
"137",2,1,10,6,1,1,1,2,1,1,1,1,4,8,7,1,8,2,2,2,3,2,1,1,1,2,1,2,2,35
"138",2,4,10,4,2,4,1,1,4,5,1,1,1,2,1,2,1,1,5,5,5,5,10,1,1,7,1,1,2,61
"139",2,10,10,10,1,1,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34
"140",2,8,10,8,1,1,1,1,1,1,1,5,5,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40
"141",2,7,10,7,1,1,1,1,1,1,1,1,1,3,2,1,1,2,3,3,2,2,1,1,1,1,1,1,2,24
"142",2,9,7,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,35
"143",1,5,4,8,1,1,1,2,2,1,1,3,5,3,1,2,1,1,1,2,10,2,1,1,5,2,1,1,1,20
"144",2,10,6,10,1,1,1,1,1,1,1,1,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,34
"145",2,10,10,10,2,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,8,1,1,1,61
"146",2,5,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39
"147",2,1,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"148",2,3,7,6,1,1,1,2,3,1,1,3,4,1,2,1,1,1,10,5,2,1,1,5,1,10,1,1,1,18
"149",2,10,10,6,1,1,1,1,1,1,1,1,1,1,2,1,1,1,10,1,10,1,1,1,10,10,1,10,1,21
"150",1,5,10,8,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,10,1,10,1,1,1,5,10,10,1,34
"151",2,7,4,3,1,1,1,1,1,1,1,6,4,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,2,18
"152",2,7,7,7,1,1,1,3,1,1,1,1,1,1,1,1,1,1,5,5,1,6,1,3,3,5,1,1,1,50
"153",1,6,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,5,1,1,1,10,1,1,1,25
"154",2,7,8,2,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,60
"155",2,6,6,6,1,1,1,2,1,1,1,7,5,1,1,5,1,1,5,5,1,8,1,1,1,1,1,1,2,37
"156",2,7,10,2,1,1,4,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,7,1,1,2,60
"157",2,5,10,5,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,3,1,5,1,1,1,1,1,1,1,38
"158",1,7,9,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,45
"159",2,5,5,5,1,1,1,1,1,1,1,1,4,1,1,7,1,1,6,6,1,5,1,1,1,10,1,1,2,35
"160",2,6,6,6,1,8,5,5,4,4,1,1,2,1,1,1,1,1,3,7,5,7,2,2,1,2,1,1,1,18
"161",1,7,4,6,1,5,1,6,1,1,1,1,1,1,1,1,1,2,5,4,1,6,1,1,1,1,1,1,1,56
"162",2,8,6,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1,1,1,1,1,1,1,1,2,45
"163",2,6,6,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,3,1,4,8,1,3,2,21
"164",2,8,5,4,1,1,1,1,1,2,1,4,1,1,1,1,1,1,2,2,1,1,1,2,1,9,1,1,1,25
"165",2,6,9,6,1,1,1,1,1,1,1,1,1,1,4,1,1,3,5,5,3,6,2,1,1,7,1,1,1,20
"166",2,6,7,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,6,1,1,1,1,1,1,1,60
"167",2,10,8,3,1,1,1,1,5,1,1,5,7,1,1,6,1,1,3,2,1,1,1,2,1,10,1,1,2,35
"168",1,7,8,7,1,1,5,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
"169",1,7,6,5,1,6,3,1,1,1,1,1,1,1,1,1,1,1,5,5,6,1,1,1,1,1,1,1,1,26
"170",2,7,9,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,35
"171",2,8,1,7,1,4,1,1,1,3,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,2,19
"172",1,7,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,10,1,1,1,10,1,1,1,18
"173",2,1,10,1,2,1,1,1,1,1,1,1,1,1,10,1,10,1,1,10,1,10,1,1,1,10,1,1,1,51
"174",2,9,10,9,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,65
"175",2,7,5,6,2,8,1,1,1,3,1,1,1,5,1,1,1,1,5,3,5,1,1,1,1,1,1,1,2,20
"176",2,7,6,9,1,5,1,1,1,5,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1,2,21
"177",2,7,10,8,2,5,1,1,1,5,1,1,1,5,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,23
"178",1,8,3,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61
"179",2,8,7,4,1,2,1,1,1,3,1,3,3,5,4,1,1,7,5,5,4,4,1,5,4,10,1,2,1,29
"180",2,10,10,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,42
"181",2,10,10,8,1,2,2,1,1,1,1,1,2,6,5,1,8,2,2,2,1,1,1,1,1,1,1,1,2,35
"182",2,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,51
"183",2,5,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,48
"184",2,10,8,8,1,3,1,1,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,2,38
"185",2,6,7,5,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,4,2,1,1,1,1,10,1,1,1,47
"186",2,3,10,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39
"187",2,6,7,8,1,8,2,2,1,1,1,3,5,3,2,1,1,4,6,2,3,9,1,1,1,2,1,1,1,26
"188",2,6,6,4,1,8,6,1,1,1,1,4,6,1,1,1,1,6,6,6,7,8,1,2,4,6,1,2,1,34
"189",2,9,9,5,1,10,6,1,1,1,1,6,7,2,3,1,1,8,6,3,1,1,1,1,1,2,1,3,2,30
"190",2,8,8,8,1,7,1,1,1,1,1,3,4,1,1,1,1,5,6,3,1,1,1,1,1,5,1,2,2,32
"191",1,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,19
"192",2,8,8,7,1,4,2,4,3,2,1,10,4,1,1,2,1,1,1,1,6,1,3,2,2,9,1,1,1,30
"193",2,3,4,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,1,1,1,1,1,1,1,2,33
"194",2,2,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,52
"195",1,2,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,70
"196",1,10,7,10,1,1,1,1,2,2,1,2,8,1,4,1,1,1,4,5,5,3,1,1,1,4,4,1,2,18
"197",2,5,3,3,1,1,1,1,1,1,1,7,8,1,3,7,1,1,4,1,1,1,1,2,2,7,4,1,2,42
"198",1,3,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,2,21
"199",2,8,7,4,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,63
"200",2,6,6,3,2,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,3,1,1,1,1,8,1,1,2,70
"201",2,4,3,4,1,1,1,1,1,1,1,1,10,1,2,1,1,1,5,1,1,1,1,1,2,4,1,1,2,36
"202",2,9,6,5,1,1,1,1,3,1,1,3,1,1,1,1,1,1,4,1,5,5,1,1,1,10,1,1,2,37
"203",2,10,9,9,1,1,1,1,1,1,1,1,7,1,1,1,1,1,4,1,4,2,1,1,1,6,1,3,2,18
"204",2,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,6,1,1,2,32
"205",1,10,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,6,1,1,3,7,1,1,2,29
"206",2,4,3,3,1,1,1,1,1,1,1,5,4,1,1,1,1,1,3,5,1,1,1,1,1,5,1,1,2,36
"207",1,5,6,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,2,23
"208",2,8,9,8,1,2,1,5,1,5,1,2,5,1,1,2,1,1,5,5,5,5,1,5,3,5,3,1,2,27
"209",2,8,4,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,43
"210",2,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,49
"211",1,2,1,2,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1,1,2,65
"212",2,10,10,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,1,1,1,1,1,1,1,2,25
"213",2,8,9,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,1,1,1,1,1,1,1,2,35
"214",2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,2,60
"215",2,8,10,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,40
"216",2,3,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,69
